instance_name	LB	best_sol	best_spread	best_algo	FF	SpreadWFD-Avg	FF_time	SpreadWFD-Avg_time
large_scale_10000_arbitrary_d005_0	4235	4440	4360	SpreadWFD-Avg	4440	4360	4.0	140.0
large_scale_10000_arbitrary_d005_1	4476	4689	4613	SpreadWFD-Avg	4689	4613	5.0	189.0
large_scale_10000_arbitrary_d005_2	4332	4580	4459	SpreadWFD-Avg	4580	4459	3.0	132.0
large_scale_10000_arbitrary_d005_3	4163	4445	4328	SpreadWFD-Avg	4445	4328	5.0	124.0
large_scale_10000_arbitrary_d005_4	4202	4426	4351	SpreadWFD-Avg	4426	4351	3.0	123.0
large_scale_10000_normal_d005_0	4235	4435	4362	SpreadWFD-Avg	4435	4362	4.0	129.0
large_scale_10000_normal_d005_1	4476	4689	4614	SpreadWFD-Avg	4689	4614	4.0	139.0
large_scale_10000_normal_d005_2	4332	4580	4459	SpreadWFD-Avg	4580	4459	4.0	134.0
large_scale_10000_normal_d005_3	4163	4445	4328	SpreadWFD-Avg	4445	4328	5.0	126.0
large_scale_10000_normal_d005_4	4202	4429	4350	SpreadWFD-Avg	4429	4350	3.0	124.0
large_scale_10000_threshold_d005_0	4235	4438	4384	SpreadWFD-Avg	4438	4384	3.0	102.0
large_scale_10000_threshold_d005_1	4476	4687	4613	SpreadWFD-Avg	4687	4613	4.0	123.0
large_scale_10000_threshold_d005_2	4332	4581	4462	SpreadWFD-Avg	4581	4462	3.0	114.0
large_scale_10000_threshold_d005_3	4163	4446	4324	SpreadWFD-Avg	4446	4324	5.0	119.0
large_scale_10000_threshold_d005_4	4202	4428	4347	SpreadWFD-Avg	4428	4347	3.0	115.0
large_scale_50000_arbitrary_d005_0	21097	22407	21867	SpreadWFD-Avg	22407	21867	107.0	5623.0
large_scale_50000_arbitrary_d005_1	21543	22817	22316	SpreadWFD-Avg	22817	22316	107.0	5822.0
large_scale_50000_arbitrary_d005_2	22057	23291	22820	SpreadWFD-Avg	23291	22820	110.0	5129.0
large_scale_50000_arbitrary_d005_3	21462	22732	22287	SpreadWFD-Avg	22732	22287	198.0	8439.0
large_scale_50000_arbitrary_d005_4	21661	22936	22419	SpreadWFD-Avg	22936	22419	199.0	9306.0
large_scale_50000_normal_d005_0	21097	22407	21866	SpreadWFD-Avg	22407	21866	107.0	5550.0
large_scale_50000_normal_d005_1	21543	22812	22310	SpreadWFD-Avg	22812	22310	108.0	5278.0
large_scale_50000_normal_d005_2	22057	23292	22821	SpreadWFD-Avg	23292	22821	112.0	5714.0
large_scale_50000_normal_d005_3	21462	22736	22282	SpreadWFD-Avg	22736	22282	165.0	7451.0
large_scale_50000_normal_d005_4	21661	22934	22415	SpreadWFD-Avg	22934	22415	163.0	6199.0
large_scale_50000_threshold_d005_0	21097	22407	21870	SpreadWFD-Avg	22407	21870	104.0	4666.0
large_scale_50000_threshold_d005_1	21543	22817	22315	SpreadWFD-Avg	22817	22315	121.0	5836.0
large_scale_50000_threshold_d005_2	22057	23293	22821	SpreadWFD-Avg	23293	22821	98.0	5246.0
large_scale_50000_threshold_d005_3	21462	22735	22284	SpreadWFD-Avg	22735	22284	131.0	5396.0
large_scale_50000_threshold_d005_4	21661	22936	22422	SpreadWFD-Avg	22936	22422	133.0	5615.0
large_scale_100000_arbitrary_d005_0	42968	45580	44591	SpreadWFD-Avg	45580	44591	686.0	34238.0
large_scale_100000_arbitrary_d005_1	42548	44835	44056	SpreadWFD-Avg	44835	44056	1009.0	40363.0
large_scale_100000_arbitrary_d005_2	43285	45936	44985	SpreadWFD-Avg	45936	44985	492.0	36104.0
large_scale_100000_arbitrary_d005_3	43913	46676	45603	SpreadWFD-Avg	46676	45603	777.0	34204.0
large_scale_100000_arbitrary_d005_4	43548	46153	45164	SpreadWFD-Avg	46153	45164	784.0	36082.0
large_scale_100000_normal_d005_0	42968	45584	44604	SpreadWFD-Avg	45584	44604	964.0	56665.0
large_scale_100000_normal_d005_2	43285	45931	44983	SpreadWFD-Avg	45931	44983	487.0	42090.0
large_scale_100000_normal_d005_3	43913	46676	45602	SpreadWFD-Avg	46676	45602	780.0	44348.0
large_scale_100000_normal_d005_4	43548	46143	45171	SpreadWFD-Avg	46143	45171	773.0	45273.0
large_scale_100000_threshold_d005_0	42968	45583	44580	SpreadWFD-Avg	45583	44580	857.0	56022.0
large_scale_100000_threshold_d005_2	43285	45926	44968	SpreadWFD-Avg	45926	44968	385.0	30001.0
large_scale_100000_threshold_d005_3	43913	46669	45593	SpreadWFD-Avg	46669	45593	576.0	30764.0
large_scale_100000_threshold_d005_4	43548	46148	45173	SpreadWFD-Avg	46148	45173	562.0	36118.0
