instance_name	LB	FF	FFD-Degree	FFD-Avg	BFD-Avg	FF_time	FFD-Degree_time	FFD-Avg_time	BFD-Avg_time
scalability_10000_arbitrary_d005	4609	4867	4864	4857	4856	4.243	4.556	9.725	12.366
scalability_10000_normal_d005	4609	4868	4879	4857	4856	11.165	11.831	11.502	16.146998999999997
scalability_10000_threshold_d005	4609	4868	4865	4857	4858	12.997	13.435	11.714	13.729
scalability_20000_arbitrary_d005	8477	9031	8996	8993	8987	60.612	60.181999	60.125	68.598
scalability_20000_normal_d005	8477	9027	9035	8992	8991	62.105999	59.324001	60.389	69.541
scalability_20000_threshold_d005	8477	9029	9026	8992	8988	55.429001	53.125	77.14299799999999	47.118999
scalability_30000_arbitrary_d005	12795	13536	13543	13466	13462	97.085999	96.306	97.58899699999999	113.608002
scalability_30000_normal_d005	12795	13535	13545	13466	13462	98.473	97.07	98.634003	115.458
scalability_30000_threshold_d005	12795	13532	13540	13462	13462	88.371002	91.758003	88.343002	101.681
scalability_40000_arbitrary_d005	17748	18849	18950	18786	18781	187.225006	179.21899399999998	187.977997	221.17999300000002
scalability_40000_normal_d005	17748	18850	18860	18784	18781	187.570999	187.412994	188.98100300000002	221.53100600000002
scalability_40000_threshold_d005	17748	18842	18835	18788	18781	171.593002	182.069	169.565002	197.326996
scalability_50000_arbitrary_d005	21080	22334	22298	22254	22258	275.804993	272.97000099999997	277.45300299999997	328.985992
scalability_50000_normal_d005	21080	22326	22310	22256	22251	275.906006	275.423004	279.127991	331.027008
scalability_50000_threshold_d005	21080	22330	22311	22253	22253	245.123001	260.704987	242.606003	287.451996
scalability_60000_arbitrary_d005	25688	27122	27133	27024	27017	390.852997	388.16598500000003	400.911011	479.626007
scalability_60000_normal_d005	25688	27119	27113	27021	27018	390.49899300000004	384.27099599999997	402.34899900000005	482.05499299999997
scalability_60000_threshold_d005	25688	27123	27142	27021	27022	348.195007	377.78799399999997	355.36801099999997	422.26901200000003
scalability_70000_arbitrary_d005	30552	32408	32419	32369	32376	557.903992	567.4530030000001	572.322021	689.591003
scalability_70000_normal_d005	30552	32404	32435	32368	32379	555.536011	547.5009769999999	572.280029	689.049988
scalability_70000_threshold_d005	30552	32412	32420	32368	32374	494.639008	542.6719969999999	504.73800700000004	599.742981
scalability_80000_arbitrary_d005	35204	37271	37264	37148	37147	737.539978	732.867004	733.013	889.9310300000001
scalability_80000_normal_d005	35204	37262	37227	37145	37151	733.3759769999999	724.822021	736.580994	894.5809939999999
scalability_80000_threshold_d005	35204	37272	37268	37141	37146	649.107971	706.955017	648.039001	777.2490230000001
scalability_90000_arbitrary_d005	38753	40940	40949	40869	40870	887.9479980000001	871.906006	891.088013	1090.751953
scalability_90000_normal_d005	38753	40943	40911	40872	40869	885.7199710000001	861.245972	892.1589970000001	1091.157959
scalability_90000_threshold_d005	38753	40953	40934	40877	40877	781.606995	841.88501	768.767029	925.664001
scalability_100000_arbitrary_d005	43384	45950	45946	45941	45937	1114.786987	1111.071045	1146.088013	1386.874023
scalability_100000_normal_d005	43384	45955	45967	45942	45939	1120.0219730000001	1113.89502	1152.003052	1396.239014
scalability_100000_threshold_d005	43384	45951	45961	45937	45940	987.028015	1094.344971	988.619019	1176.428955
